n,m,T,n_cops,graph_type,cop_strategy,robber_strategy,n_games,cop_wins,robber_wins,win_rate,mean_rounds,mean_seconds_per_game,placement,comparison_label
5,8,10,1,any,greedy,random,1000,1000,0,1.0,1.0,0.0,heuristic,ROBBER=random
5,8,10,1,any,greedy,greedy,1000,1000,0,1.0,1.0,0.0,heuristic,ROBBER=greedy
5,8,10,1,any,greedy,minimax(d=3),1000,1000,0,1.0,1.0,0.0,heuristic,ROBBER=minimax(d=3)
8,12,16,1,any,greedy,random,1000,1000,0,1.0,2.06,0.0001,heuristic,ROBBER=random
8,12,16,1,any,greedy,greedy,1000,735,265,0.735,8.91,0.0004,heuristic,ROBBER=greedy
8,12,16,1,any,greedy,minimax(d=3),1000,344,656,0.344,12.37,0.0272,heuristic,ROBBER=minimax(d=3)
10,15,20,1,any,greedy,random,1000,1000,0,1.0,2.27,0.0001,heuristic,ROBBER=random
10,15,20,1,any,greedy,greedy,1000,776,224,0.776,10.38,0.0004,heuristic,ROBBER=greedy
10,15,20,1,any,greedy,minimax(d=3),1000,293,707,0.293,16.21,0.0433,heuristic,ROBBER=minimax(d=3)
15,22,30,1,any,greedy,random,1000,1000,0,1.0,2.78,0.0002,heuristic,ROBBER=random
15,22,30,1,any,greedy,greedy,1000,853,147,0.853,12.83,0.0005,heuristic,ROBBER=greedy
15,22,30,1,any,greedy,minimax(d=3),1000,315,685,0.315,22.58,0.078,heuristic,ROBBER=minimax(d=3)
20,30,40,1,any,greedy,random,1000,1000,0,1.0,3.15,0.0002,heuristic,ROBBER=random
20,30,40,1,any,greedy,greedy,1000,890,110,0.89,16.42,0.0007,heuristic,ROBBER=greedy
20,30,40,1,any,greedy,minimax(d=3),1000,218,782,0.218,33.41,0.1471,heuristic,ROBBER=minimax(d=3)
25,38,50,1,any,greedy,random,1000,1000,0,1.0,3.3,0.0002,heuristic,ROBBER=random
25,38,50,1,any,greedy,greedy,1000,943,57,0.943,16.27,0.0008,heuristic,ROBBER=greedy
25,38,50,1,any,greedy,minimax(d=3),1000,171,829,0.171,43.26,0.2326,heuristic,ROBBER=minimax(d=3)
30,45,60,1,any,greedy,random,1000,1000,0,1.0,3.66,0.0003,heuristic,ROBBER=random
30,45,60,1,any,greedy,greedy,1000,969,31,0.969,15.89,0.0008,heuristic,ROBBER=greedy
30,45,60,1,any,greedy,minimax(d=3),1000,192,808,0.192,50.45,0.2868,heuristic,ROBBER=minimax(d=3)
