n,m,T,n_cops,graph_type,cop_strategy,robber_strategy,n_games,cop_wins,robber_wins,win_rate,mean_rounds,mean_seconds_per_game,placement,bucket
12,18,20,1,any,random,random,1000,902,98,0.902,8.56,0.0002,heuristic,n12_sparse
12,18,20,1,any,random,greedy,1000,106,894,0.106,19.16,0.0006,heuristic,n12_sparse
12,18,20,1,any,random,minimax(d=3),1000,23,977,0.023,19.75,0.0628,heuristic,n12_sparse
12,18,20,1,any,greedy,random,1000,1000,0,1.0,2.46,0.0001,heuristic,n12_sparse
12,18,20,1,any,greedy,greedy,1000,759,241,0.759,10.72,0.0004,heuristic,n12_sparse
12,18,20,1,any,greedy,minimax(d=3),1000,320,680,0.32,15.47,0.0467,heuristic,n12_sparse
12,18,20,1,any,minimax(d=3),random,1000,1000,0,1.0,2.78,0.0125,heuristic,n12_sparse
12,18,20,1,any,minimax(d=3),greedy,1000,372,628,0.372,14.11,0.0512,heuristic,n12_sparse
12,18,20,1,any,minimax(d=3),minimax(d=3),1000,193,807,0.193,16.69,0.116,heuristic,n12_sparse
12,30,20,1,any,random,random,1000,954,46,0.954,7.16,0.0002,heuristic,n12_dense
12,30,20,1,any,random,greedy,1000,51,949,0.051,19.6,0.0007,heuristic,n12_dense
12,30,20,1,any,random,minimax(d=3),1000,18,982,0.018,19.81,0.1698,heuristic,n12_dense
12,30,20,1,any,greedy,random,1000,1000,0,1.0,2.48,0.0001,heuristic,n12_dense
12,30,20,1,any,greedy,greedy,1000,471,529,0.471,15.22,0.0007,heuristic,n12_dense
12,30,20,1,any,greedy,minimax(d=3),1000,209,791,0.209,17.83,0.1471,heuristic,n12_dense
12,30,20,1,any,minimax(d=3),random,1000,1000,0,1.0,2.45,0.0303,heuristic,n12_dense
12,30,20,1,any,minimax(d=3),greedy,1000,385,615,0.385,14.49,0.1493,heuristic,n12_dense
12,30,20,1,any,minimax(d=3),minimax(d=3),1000,155,845,0.155,17.59,0.3284,heuristic,n12_dense
30,45,50,1,any,random,random,1000,852,148,0.852,25.27,0.0006,heuristic,n30_sparse
30,45,50,1,any,random,greedy,1000,105,895,0.105,48.0,0.0013,heuristic,n30_sparse
30,45,50,1,any,random,minimax(d=3),1000,9,991,0.009,49.79,0.2731,heuristic,n30_sparse
30,45,50,1,any,greedy,random,1000,1000,0,1.0,3.66,0.0003,heuristic,n30_sparse
30,45,50,1,any,greedy,greedy,1000,954,46,0.954,15.48,0.0008,heuristic,n30_sparse
30,45,50,1,any,greedy,minimax(d=3),1000,190,810,0.19,42.36,0.2359,heuristic,n30_sparse
30,45,50,1,any,minimax(d=3),random,1000,1000,0,1.0,4.02,0.0213,heuristic,n30_sparse
30,45,50,1,any,minimax(d=3),greedy,1000,394,606,0.394,32.76,0.1509,heuristic,n30_sparse
30,45,50,1,any,minimax(d=3),minimax(d=3),1000,112,888,0.112,44.86,0.4454,heuristic,n30_sparse
30,75,50,1,any,random,random,1000,929,71,0.929,19.19,0.0005,heuristic,n30_dense
30,75,50,1,any,random,greedy,1000,22,978,0.022,49.66,0.002,heuristic,n30_dense
30,75,50,1,any,random,minimax(d=3),1000,0,1000,0.0,50.0,0.7872,heuristic,n30_dense
30,75,50,1,any,greedy,random,1000,1000,0,1.0,3.56,0.0003,heuristic,n30_dense
30,75,50,1,any,greedy,greedy,1000,366,634,0.366,39.74,0.002,heuristic,n30_dense
30,75,50,1,any,greedy,minimax(d=3),1000,71,929,0.071,47.71,0.756,heuristic,n30_dense
30,75,50,1,any,minimax(d=3),random,1000,1000,0,1.0,3.81,0.0657,heuristic,n30_dense
30,75,50,1,any,minimax(d=3),greedy,1000,133,867,0.133,44.9,0.5694,heuristic,n30_dense
30,75,50,1,any,minimax(d=3),minimax(d=3),1000,26,974,0.026,48.79,1.4579,heuristic,n30_dense
