n,m,T,n_cops,graph_type,cop_strategy,robber_strategy,n_games,cop_wins,robber_wins,win_rate,mean_rounds,mean_seconds_per_game,placement,comparison_label
5,8,10,1,any,random,greedy,100,59,41,0.59,6.73,0.0006,heuristic,COP=random vs ROBBER=greedy
5,8,10,1,any,greedy,greedy,100,100,0,1.0,1.0,0.0001,heuristic,COP=greedy vs ROBBER=greedy
5,8,10,1,any,minimax(d=3),greedy,100,100,0,1.0,1.0,0.0073,heuristic,COP=minimax(d=3) vs ROBBER=greedy
5,8,10,1,any,random,minimax(d=3),100,59,41,0.59,6.86,0.0293,heuristic,COP=random vs ROBBER=minimax(d=3)
5,8,10,1,any,greedy,minimax(d=3),100,100,0,1.0,1.0,0.0001,heuristic,COP=greedy vs ROBBER=minimax(d=3)
5,8,10,1,any,minimax(d=3),minimax(d=3),100,100,0,1.0,1.0,0.0073,heuristic,COP=minimax(d=3) vs ROBBER=minimax(d=3)
8,12,16,1,any,random,greedy,100,16,84,0.16,14.81,0.0011,heuristic,COP=random vs ROBBER=greedy
8,12,16,1,any,greedy,greedy,100,73,27,0.73,8.96,0.0009,heuristic,COP=greedy vs ROBBER=greedy
8,12,16,1,any,minimax(d=3),greedy,100,34,66,0.34,11.7,0.0963,heuristic,COP=minimax(d=3) vs ROBBER=greedy
8,12,16,1,any,random,minimax(d=3),100,7,93,0.07,15.55,0.1001,heuristic,COP=random vs ROBBER=minimax(d=3)
8,12,16,1,any,greedy,minimax(d=3),100,33,67,0.33,12.27,0.0743,heuristic,COP=greedy vs ROBBER=minimax(d=3)
8,12,16,1,any,minimax(d=3),minimax(d=3),100,18,82,0.18,13.48,0.2037,heuristic,COP=minimax(d=3) vs ROBBER=minimax(d=3)
10,15,20,1,any,random,greedy,100,18,82,0.18,18.8,0.0014,heuristic,COP=random vs ROBBER=greedy
10,15,20,1,any,greedy,greedy,100,80,20,0.8,10.3,0.0011,heuristic,COP=greedy vs ROBBER=greedy
10,15,20,1,any,minimax(d=3),greedy,100,33,67,0.33,14.66,0.1431,heuristic,COP=minimax(d=3) vs ROBBER=greedy
10,15,20,1,any,random,minimax(d=3),100,8,92,0.08,19.37,0.261,heuristic,COP=random vs ROBBER=minimax(d=3)
10,15,20,1,any,greedy,minimax(d=3),100,32,68,0.32,15.86,0.1288,heuristic,COP=greedy vs ROBBER=minimax(d=3)
10,15,20,1,any,minimax(d=3),minimax(d=3),100,15,85,0.15,17.36,0.3332,heuristic,COP=minimax(d=3) vs ROBBER=minimax(d=3)
15,22,30,1,any,random,greedy,100,17,83,0.17,28.23,0.0022,heuristic,COP=random vs ROBBER=greedy
15,22,30,1,any,greedy,greedy,100,79,21,0.79,14.58,0.0016,heuristic,COP=greedy vs ROBBER=greedy
15,22,30,1,any,minimax(d=3),greedy,100,30,70,0.3,22.35,0.2385,heuristic,COP=minimax(d=3) vs ROBBER=greedy
15,22,30,1,any,random,minimax(d=3),100,1,99,0.01,29.87,0.3312,heuristic,COP=random vs ROBBER=minimax(d=3)
15,22,30,1,any,greedy,minimax(d=3),100,35,65,0.35,21.85,0.2093,heuristic,COP=greedy vs ROBBER=minimax(d=3)
15,22,30,1,any,minimax(d=3),minimax(d=3),100,19,81,0.19,24.87,0.5087,heuristic,COP=minimax(d=3) vs ROBBER=minimax(d=3)
