n,m,T,n_cops,graph_type,cop_strategy,robber_strategy,n_games,cop_wins,robber_wins,win_rate,mean_rounds,mean_seconds_per_game,placement,k,bucket
12,18,20,1,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,38,162,0.19,16.75,0.1138,heuristic,1,n12_sparse
12,11,20,1,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,3.31,0.0058,heuristic,1,n12_sparse
12,18,20,1,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,45,155,0.225,16.14,0.1137,heuristic,1,n12_sparse
12,30,20,1,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,37,163,0.185,17.04,0.3164,heuristic,1,n12_dense
12,11,20,1,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,3.31,0.0055,heuristic,1,n12_dense
12,30,20,1,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,41,159,0.205,16.3,0.3454,heuristic,1,n12_dense
30,45,50,1,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,25,175,0.125,44.25,0.453,heuristic,1,n30_sparse
30,29,50,1,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,5.08,0.0133,heuristic,1,n30_sparse
30,45,50,1,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,16,184,0.08,46.35,0.4697,heuristic,1,n30_sparse
30,75,50,1,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,7,193,0.035,48.39,1.4732,heuristic,1,n30_dense
30,29,50,1,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,5.08,0.0131,heuristic,1,n30_dense
30,75,50,1,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,51,149,0.255,38.3,1.3089,heuristic,1,n30_dense
12,18,20,2,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,2.4,0.2564,heuristic,2,n12_sparse
12,11,20,2,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,2.77,0.0557,heuristic,2,n12_sparse
12,18,20,2,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,2.35,0.259,heuristic,2,n12_sparse
12,30,20,2,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,1.82,0.2862,heuristic,2,n12_dense
12,11,20,2,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,2.77,0.0554,heuristic,2,n12_dense
12,30,20,2,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,1.51,0.1659,heuristic,2,n12_dense
30,45,50,2,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,195,5,0.975,5.26,0.7781,heuristic,2,n30_sparse
30,29,50,2,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,4.55,0.1939,heuristic,2,n30_sparse
30,45,50,2,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,199,1,0.995,4.0,0.5052,heuristic,2,n30_sparse
30,75,50,2,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,106,94,0.53,25.82,6.152,heuristic,2,n30_dense
30,29,50,2,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,4.55,0.1966,heuristic,2,n30_dense
30,75,50,2,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,187,13,0.935,6.32,1.6242,heuristic,2,n30_dense
12,18,20,3,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,1.96,0.196,heuristic,3,n12_sparse
12,11,20,3,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,2.41,0.2827,heuristic,3,n12_sparse
12,18,20,3,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,1.97,0.2338,heuristic,3,n12_sparse
12,30,20,3,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,1.42,0.8508,heuristic,3,n12_dense
12,11,20,3,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,2.41,0.2831,heuristic,3,n12_dense
12,30,20,3,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,1.13,0.7914,heuristic,3,n12_dense
30,45,50,3,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,3.4,1.0255,heuristic,3,n30_sparse
30,29,50,3,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,4.33,0.6627,heuristic,3,n30_sparse
30,45,50,3,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,3.28,1.0962,heuristic,3,n30_sparse
30,75,50,3,any,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,197,3,0.985,3.9,10.3814,heuristic,3,n30_dense
30,29,50,3,tree,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,4.33,0.6603,heuristic,3,n30_dense
30,75,50,3,planar,"minimax(d=3,adaptive)","minimax(d=3,adaptive)",200,200,0,1.0,2.4,16.2699,heuristic,3,n30_dense
